name,code,alt,lat,lon
"Atlanta, GA",ATL,"1,026",33.6407,84.4277
"Dallas/Fort Worth, TX",DFW,607,32.8998,97.0403
"Denver, CO",DEN,"5,431",39.8561,104.6737
"Chicago, IL",ORD,672,41.9742,87.9073
"Los Angeles, CA",LAX,128,33.9416,118.4085
"New York, NY",JFK,13,40.6413,73.7781
"Charlotte, NC",CLT,748,35.2144,80.9473
"Las Vegas, NV",LAS,"2,181",36.084,115.1537
"Orlando, FL",MCO,96,28.4312,81.3081
"Miami, FL",MIA,9,25.7959,80.287
"Seattle, WA",SEA,433,47.4502,122.3088
"Newark, NJ",EWR,18,40.6895,74.1745
"San Francisco, CA",SFO,13,37.6213,122.379
"Phoenix, AZ",PHX,"1,135",33.4342,112.0081
"Houston, TX",IAH,97,29.9902,95.3368
"Minneapolis, MN",MSP,841,44.8848,93.2223
"Boston, MA",BOS,20,42.3656,71.0096
"Detroit, MI",DTW,645,42.2124,83.3533
"Fort Lauderdale, FL",FLL,9,26.0742,80.1506
"Philadelphia, PA",PHL,36,39.8729,75.2437
"New York, NY",LGA,21,40.7769,73.874
"Baltimore, MD",BWI,146,39.1774,76.6684
"Salt Lake City, UT",SLC,"4,227",40.7899,111.9791
"San Diego, CA",SAN,17,32.7338,117.1933
"Washington, D.C.",DCA,15,38.8512,77.0402
"Washington, D.C.",IAD,312,38.9531,77.4565
"Nashville, TN",BNA,599,36.1263,86.6774
"Tampa, FL",TPA,26,27.9772,82.5311
"Austin, TX",AUS,542,30.1975,97.6664
"Chicago, IL",MDW,620,41.7868,87.7522
"Honolulu, HI",HNL,13,21.3187,157.9225
"Portland, OR",PDX,31,45.5898,122.5951
"Dallas, TX",DAL,487,32.8471,96.8518
"St. Louis, MO",STL,618,38.7477,90.3597
"Raleigh/Durham, NC",RDU,435,35.8776,78.7875
"Houston, TX",HOU,46,29.6454,95.2789
"Santa Ana, CA",SNA,56,33.6757,117.8676
"Kansas City, MO",MCI,"1,026",39.2976,94.7139
"New Orleans, LA",MSY,4,29.9911,90.2592
"Sacramento, CA",SMF,27,38.6954,121.5908
"San Jose, CA",SJC,62,37.3639,121.9289
"Oakland, CA",OAK,9,37.7214,122.2208
"San Antonio, TX",SAT,809,29.5337,98.4697
"Fort Myers, FL",RSW,30,26.5362,81.7551
"Cleveland, OH",CLE,791,41.4109,81.8494
"Indianapolis, IN",IND,796,39.7173,86.2941
"Pittsburgh, PA",PIT,"1,203",40.4919,80.2352
"Cincinnati, OH",CVG,896,39.0461,84.6625
"Columbus, OH",CMH,815,39.998,82.8919
"Palm Beach, FL",PBI,19,26.6832,80.0956
"Jacksonville, FL",JAX,30,30.4941,81.6879
"Milwaukee, WI",MKE,723,42.9472,87.8967
"Ontario, CA",ONT,944,34.056,117.6012
"Hartford, CT",BDL,173,41.9389,72.6832
"Kahului, HI",OGG,54,20.8986,156.4305
"Anchorage, AK",ANC,152,61.1743,149.9964
"Burbank, CA",BUR,778,34.2007,118.359
"Omaha, NE",OMA,984,41.3025,95.8941
"Memphis, TN",MEM,341,35.0424,89.9767
"Reno, NV",RNO,"4,415",39.4986,119.7681
"Boise, ID",BOI,"2,871",43.5644,116.2228
"Albuquerque, NM",ABQ,"5,355",35.0402,106.6092
"Norfolk, VA",ORF,27,36.8946,76.2012
"Charleston, SC",CHS,46,32.8986,80.0405
"Richmond, VA",RIC,168,37.5052,77.3197
"Louisville, KY",SDF,501,38.1744,85.736
"Oklahoma City, OK",OKC,"1,295",35.3931,97.6007
"Tucson, AZ",TUS,"2,643",32.1161,110.9411
"Spokane, WA",GEG,"2,376",47.6199,117.5338
"Des Moines, IA",DSM,958,41.534,93.6607
"Grand Rapids, MI",GRR,794,42.8808,85.5228
"Buffalo, NY",BUF,728,42.9405,78.7322
"Providence, RI",PVD,55,41.724,71.4282
"Savannah, GA",SAV,50,32.1276,81.2021
"Madison, WI",MSN,887,43.1399,89.3375
"Birmingham, AL",BHM,650,33.5629,86.7535
"Pensacola, FL",PNS,121,30.4733,87.1875
"Little Rock, AR",LIT,266,34.7294,92.2247
"Albany, NY",ALB,285,42.7481,73.803
"Knoxville, TN",TYS,981,35.811,83.994
"Greenville, SC",GSP,964,34.8957,82.2189
"Colorado Springs, CO",COS,"6,187",38.8058,104.7008
"Syracuse, NY",SYR,421,43.1112,76.1063
"Fresno, CA",FAT,336,36.7762,119.7181
"Greensboro, NC",GSO,926,36.0978,79.9373
"Dayton, OH",DAY,"1,009",39.9024,84.2194
"Rochester, NY",ROC,559,43.1189,77.6724
"Flint, MI",FNT,782,42.9654,83.7436
"Sarasota, FL",SRQ,30,27.3955,82.5544
"Huntsville, AL",HSV,629,34.6372,86.7751
"Bentonville, AR",XNA,"1,288",36.2818,94.3068
"Wichita, KS",ICT,"1,333",37.6499,97.4331
"El Paso, TX",ELP,"3,962",31.8066,106.3778
"Jackson, MS",JAN,346,32.3112,90.0759
"Lexington, KY",LEX,979,38.0364,84.6058
"South Bend, IN",SBN,799,41.7086,86.3173
"Portland, ME",PWM,76,43.6462,70.3088
"Eugene, OR",EUG,374,44.1246,123.2186
"Billings, MT",BIL,"3,652",45.8077,108.5428
"Prescott, AZ",PRC,"5,045",34.6491,112.4223
